PassengerId,Pclass,Sex adj,Age,SibSp,Parch,Tick adj,Fare,Embarked adj,Survived
314,3,1,28,0,0,349243,7.8958,2,0
315,2,1,43,1,1,13529,26.25,2,0
316,3,0,26,0,0,347470,7.8542,2,1
317,2,0,24,1,0,244367,26,2,1
318,2,1,54,0,0,29011,14,2,0
319,1,0,31,0,2,36928,164.8667,2,1
320,1,0,40,1,1,16966,134.5,0,1
321,3,1,22,0,0,21172,7.25,2,0
322,3,1,27,0,0,349219,7.8958,2,0
323,2,0,30,0,0,234818,12.35,1,1
324,2,0,22,1,1,248738,29,2,1
325,3,1,30,8,2,2343,69.55,2,0
326,1,0,36,0,0,17760,135.6333,0,1
327,3,1,61,0,0,345364,6.2375,2,0
328,2,0,36,0,0,28551,13,2,1
329,3,0,31,1,1,363291,20.525,2,1
330,1,0,16,0,1,111361,57.9792,0,1
331,3,0,21,2,0,367226,23.25,1,1
332,1,1,45.5,0,0,113043,28.5,2,0
333,1,1,38,0,1,17582,153.4625,2,0
334,3,1,16,2,0,345764,18,2,0
335,1,0,35,1,0,17611,133.65,2,1
336,3,1,30,0,0,349225,7.8958,2,0
337,1,1,29,1,0,113776,66.6,2,0
338,1,0,41,0,0,16966,134.5,0,1
339,3,1,45,0,0,7598,8.05,2,1
340,1,1,45,0,0,113784,35.5,2,0
341,2,1,2,1,1,230080,26,2,1
342,1,0,24,3,2,19950,263,2,1
343,2,1,28,0,0,248740,13,2,0
344,2,1,25,0,0,244361,13,2,0
345,2,1,36,0,0,229236,13,2,0
346,2,0,24,0,0,248733,13,2,1
347,2,0,40,0,0,31418,13,2,1
348,3,0,35,1,0,386525,16.1,2,1
349,3,1,3,1,1,37671,15.9,2,1
350,3,1,42,0,0,315088,8.6625,2,0
351,3,1,23,0,0,7267,9.225,2,0
352,1,1,30,0,0,113510,35,2,0
353,3,1,15,1,1,2695,7.2292,0,0
354,3,1,25,1,0,349237,17.8,2,0
355,3,1,30,0,0,2647,7.225,0,0
356,3,1,28,0,0,345783,9.5,2,0
357,1,0,22,0,1,113505,55,2,1
358,2,0,38,0,0,237671,13,2,0
359,3,0,21,0,0,330931,7.8792,1,1
360,3,0,21,0,0,330980,7.8792,1,1
361,3,1,40,1,4,347088,27.9,2,0
362,2,1,29,1,0,2167,27.7208,0,0
363,3,0,45,0,1,2691,14.4542,0,0
364,3,1,35,0,0,3101310,7.05,2,0
365,3,1,30,1,0,370365,15.5,1,0
366,3,1,30,0,0,7076,7.25,2,0
367,1,0,60,1,0,110813,75.25,0,1
368,3,0,35,0,0,2626,7.2292,0,1
369,3,0,21,0,0,14313,7.75,1,1
370,1,0,24,0,0,17477,69.3,0,1
371,1,1,25,1,0,11765,55.4417,0,1
372,3,1,18,1,0,3101267,6.4958,2,0
373,3,1,19,0,0,323951,8.05,2,0
374,1,1,22,0,0,17760,135.6333,0,0
375,3,0,3,3,1,349909,21.075,2,0
376,1,0,35,1,0,17604,82.1708,0,1
377,3,0,22,0,0,7077,7.25,2,1
378,1,1,27,0,2,113503,211.5,0,0
379,3,1,20,0,0,2648,4.0125,0,0
380,3,1,19,0,0,347069,7.775,2,0
381,1,0,42,0,0,17757,227.525,0,1
382,3,0,1,0,2,2653,15.7417,0,1
383,3,1,32,0,0,3101293,7.925,2,0
384,1,0,35,1,0,113789,52,2,1
385,3,1,30,0,0,349227,7.8958,2,0
386,2,1,18,0,0,14879,73.5,2,0
387,3,1,1,5,2,2144,46.9,2,0
388,2,0,36,0,0,27849,13,2,1
389,3,1,30,0,0,367655,7.7292,1,0
390,2,0,17,0,0,1748,12,0,1
391,1,1,36,1,2,113760,120,2,1
392,3,1,21,0,0,350034,7.7958,2,1
393,3,1,28,2,0,3101277,7.925,2,0
394,1,0,23,1,0,35273,113.275,0,1
395,3,0,24,0,2,9549,16.7,2,1
396,3,1,22,0,0,350052,7.7958,2,0
397,3,0,31,0,0,350407,7.8542,2,0
398,2,1,46,0,0,28403,26,2,0
399,2,1,23,0,0,244278,10.5,2,0
400,2,0,28,0,0,240929,12.65,2,1
401,3,1,39,0,0,3101289,7.925,2,1
402,3,1,26,0,0,341826,8.05,2,0
403,3,0,21,1,0,4137,9.825,2,0
404,3,1,28,1,0,3101279,15.85,2,0
405,3,0,20,0,0,315096,8.6625,2,0
406,2,1,34,1,0,28664,21,2,0
407,3,1,51,0,0,347064,7.75,2,0
408,2,1,3,1,1,29106,18.75,2,1
409,3,1,21,0,0,312992,7.775,2,0
410,3,0,21,3,1,4133,25.4667,2,0
411,3,1,30,0,0,349222,7.8958,2,0
412,3,1,30,0,0,394140,6.8583,1,0
413,1,0,33,1,0,19928,90,1,1
414,2,1,30,0,0,239853,0,2,0
415,3,1,44,0,0,3101269,7.925,2,1
416,3,0,35,0,0,343095,8.05,2,0
417,2,0,34,1,1,28220,32.5,2,1
418,2,0,18,0,2,250652,13,2,1
419,2,1,30,0,0,28228,13,2,0
420,3,0,10,0,2,345773,24.15,2,0
421,3,1,30,0,0,349254,7.8958,0,0
422,3,1,21,0,0,13032,7.7333,1,0
423,3,1,29,0,0,315082,7.875,2,0
424,3,0,28,1,1,347080,14.4,2,0
425,3,1,18,1,1,370129,20.2125,2,0
426,3,1,30,0,0,34244,7.25,2,0
427,2,0,28,1,0,2003,26,2,1
428,2,0,19,0,0,250655,26,2,1
429,3,1,30,0,0,364851,7.75,1,0
430,3,1,32,0,0,392078,8.05,2,1
431,1,1,28,0,0,110564,26.55,2,1
432,3,0,35,1,0,376564,16.1,2,1
433,2,0,42,1,0,3085,26,2,1
434,3,1,17,0,0,3101274,7.125,2,0
435,1,1,50,1,0,13507,55.9,2,0
436,1,0,14,1,2,113760,120,2,1
437,3,0,21,2,2,6608,34.375,2,0
438,2,0,24,2,3,29106,18.75,2,1
439,1,1,64,1,4,19950,263,2,0
440,2,1,31,0,0,18723,10.5,2,0
441,2,0,45,1,1,13529,26.25,2,1
442,3,1,20,0,0,345769,9.5,2,0
443,3,1,25,1,0,347076,7.775,2,0
444,2,0,28,0,0,230434,13,2,1
445,3,1,30,0,0,65306,8.1125,2,1
446,1,1,4,0,2,33638,81.8583,2,1
447,2,0,13,0,1,250644,19.5,2,1
448,1,1,34,0,0,113794,26.55,2,1
449,3,0,5,2,1,2666,19.2583,0,1
450,1,1,52,0,0,113786,30.5,2,1
451,2,1,36,1,2,34651,27.75,2,0
452,3,1,30,1,0,65303,19.9667,2,0
453,1,1,30,0,0,113051,27.75,0,0
454,1,1,49,1,0,17453,89.1042,0,1
455,3,1,30,0,0,2817,8.05,2,0
456,3,1,29,0,0,349240,7.8958,0,1
457,1,1,65,0,0,13509,26.55,2,0
458,1,0,35,1,0,17464,51.8625,2,1
459,2,0,50,0,0,13531,10.5,2,1
460,3,1,30,0,0,371060,7.75,1,0
461,1,1,48,0,0,19952,26.55,2,1
462,3,1,34,0,0,364506,8.05,2,0
463,1,1,47,0,0,111320,38.5,2,0
464,2,1,48,0,0,234360,13,2,0
465,3,1,30,0,0,2816,8.05,2,0
466,3,1,38,0,0,3101306,7.05,2,0
467,2,1,30,0,0,239853,0,2,0
468,1,1,56,0,0,113792,26.55,2,0
469,3,1,30,0,0,36209,7.725,1,0
470,3,0,0.75,2,1,2666,19.2583,0,1
471,3,1,30,0,0,323592,7.25,2,0
472,3,1,38,0,0,315089,8.6625,2,0
473,2,0,33,1,2,34651,27.75,2,1
474,2,0,23,0,0,0,13.7917,0,1
475,3,0,22,0,0,7553,9.8375,2,0
476,1,1,30,0,0,110465,52,2,0
477,2,1,34,1,0,31027,21,2,0
478,3,1,29,1,0,3460,7.0458,2,0
479,3,1,22,0,0,350060,7.5208,2,0
480,3,0,2,0,1,3101298,12.2875,2,1
481,3,1,9,5,2,2144,46.9,2,0
482,2,1,30,0,0,239854,0,2,0
483,3,1,50,0,0,3594,8.05,2,0
484,3,0,63,0,0,4134,9.5875,2,1
485,1,1,25,1,0,11967,91.0792,0,1
486,3,0,21,3,1,4133,25.4667,2,0
487,1,0,35,1,0,19943,90,2,1
488,1,1,58,0,0,11771,29.7,0,0
489,3,1,30,0,0,18509,8.05,2,0
490,3,1,9,1,1,37671,15.9,2,1
491,3,1,30,1,0,65304,19.9667,2,0
492,3,1,21,0,0,3101317,7.25,2,0
493,1,1,55,0,0,113787,30.5,2,0
494,1,1,71,0,0,17609,49.5042,0,0
495,3,1,21,0,0,45380,8.05,2,0
496,3,1,30,0,0,2627,14.4583,0,0
497,1,0,54,1,0,36947,78.2667,0,1
498,3,1,30,0,0,6212,15.1,2,0
499,1,0,25,1,2,113781,151.55,2,0
500,3,1,24,0,0,350035,7.7958,2,0
501,3,1,17,0,0,315086,8.6625,2,0
502,3,0,21,0,0,364846,7.75,1,0
503,3,0,21,0,0,330909,7.6292,1,0
504,3,0,37,0,0,4135,9.5875,2,0
505,1,0,16,0,0,110152,86.5,2,1
506,1,1,18,1,0,17758,108.9,0,0
507,2,0,33,0,2,26360,26,2,1
508,1,1,30,0,0,111427,26.55,2,1
509,3,1,28,0,0,4001,22.525,2,0
510,3,1,26,0,0,1601,56.4958,2,1
511,3,1,29,0,0,382651,7.75,1,1
512,3,1,30,0,0,3101316,8.05,2,0
513,1,1,36,0,0,17473,26.2875,2,1
514,1,0,54,1,0,17603,59.4,0,1
515,3,1,24,0,0,349209,7.4958,2,0
516,1,1,47,0,0,36967,34.0208,2,0
517,2,0,34,0,0,34260,10.5,2,1
518,3,1,30,0,0,371110,24.15,1,0
519,2,0,36,1,0,226875,26,2,1
520,3,1,32,0,0,349242,7.8958,2,0
521,1,0,30,0,0,12749,93.5,2,1
522,3,1,22,0,0,349252,7.8958,2,0
523,3,1,30,0,0,2624,7.225,0,0
524,1,0,44,0,1,111361,57.9792,0,1
525,3,1,30,0,0,2700,7.2292,0,0
526,3,1,40.5,0,0,367232,7.75,1,0
527,2,0,50,0,0,14258,10.5,2,1
528,1,1,30,0,0,17483,221.7792,2,0
529,3,1,39,0,0,3101296,7.925,2,0
530,2,1,23,2,1,29104,11.5,2,0
531,2,0,2,1,1,26360,26,2,1
532,3,1,30,0,0,2641,7.2292,0,0
533,3,1,17,1,1,2690,7.2292,0,0
534,3,0,35,0,2,2668,22.3583,0,1
535,3,0,30,0,0,315084,8.6625,2,0
536,2,0,7,0,2,13529,26.25,2,1
537,1,1,45,0,0,113050,26.55,2,0
538,1,0,30,0,0,17761,106.425,0,1
539,3,1,30,0,0,364498,14.5,2,0
540,1,0,22,0,2,13568,49.5,0,1
541,1,0,36,0,2,5735,71,2,1
542,3,0,9,4,2,347082,31.275,2,0
543,3,0,11,4,2,347082,31.275,2,0
544,2,1,32,1,0,2908,26,2,1
545,1,1,50,1,0,17761,106.425,0,0
546,1,1,64,0,0,693,26,2,0
547,2,0,19,1,0,2908,26,2,1
548,2,1,30,0,0,2146,13.8625,0,1
549,3,1,33,1,1,363291,20.525,2,0
550,2,1,8,1,1,33112,36.75,2,1
551,1,1,17,0,2,17421,110.8833,0,1
552,2,1,27,0,0,244358,26,2,0
553,3,1,30,0,0,330979,7.8292,1,0
554,3,1,22,0,0,2620,7.225,0,1
555,3,0,22,0,0,347085,7.775,2,1
556,1,1,62,0,0,113807,26.55,2,0
557,1,0,48,1,0,11755,39.6,0,1
558,1,1,30,0,0,17757,227.525,0,0
559,1,0,39,1,1,110413,79.65,2,1
560,3,0,36,1,0,345572,17.4,2,1
561,3,1,30,0,0,372622,7.75,1,0
562,3,1,40,0,0,349251,7.8958,2,0
563,2,1,28,0,0,218629,13.5,2,0
564,3,1,30,0,0,392082,8.05,2,0
565,3,0,21,0,0,392087,8.05,2,0
566,3,1,24,2,0,48871,24.15,2,0
567,3,1,19,0,0,349205,7.8958,2,0
568,3,0,29,0,4,349909,21.075,2,0
569,3,1,30,0,0,2686,7.2292,0,0
570,3,1,32,0,0,350417,7.8542,2,1
571,2,1,62,0,0,752,10.5,2,1
572,1,0,53,2,0,11769,51.4792,2,1
573,1,1,36,0,0,17474,26.3875,2,1
574,3,0,21,0,0,14312,7.75,1,1
575,3,1,16,0,0,20589,8.05,2,0
576,3,1,19,0,0,358585,14.5,2,0
577,2,0,34,0,0,243880,13,2,1
578,1,0,39,1,0,13507,55.9,2,1
579,3,0,35,1,0,2689,14.4583,0,0
580,3,1,32,0,0,3101286,7.925,2,1
581,2,0,25,1,1,237789,30,2,1
582,1,0,39,1,1,17421,110.8833,0,1
583,2,1,54,0,0,28403,26,2,0
584,1,1,36,0,0,13049,40.125,0,0
585,3,1,30,0,0,3411,8.7125,0,0
586,1,0,18,0,2,110413,79.65,2,1
587,2,1,47,0,0,237565,15,2,0
588,1,1,60,1,1,13567,79.2,0,1
589,3,1,22,0,0,14973,8.05,2,0
590,3,1,30,0,0,3235,8.05,2,0
591,3,1,35,0,0,3101273,7.125,2,0
592,1,0,52,1,0,36947,78.2667,0,1
593,3,1,47,0,0,3902,7.25,2,0
594,3,0,21,0,2,364848,7.75,1,0
595,2,1,37,1,0,29037,26,2,0
596,3,1,36,1,1,345773,24.15,2,0
597,2,0,21,0,0,248727,33,2,1
598,3,1,49,0,0,0,0,2,0
599,3,1,30,0,0,2664,7.225,0,0
600,1,1,49,1,0,17485,56.9292,0,1
601,2,0,24,2,1,243847,27,2,1
602,3,1,30,0,0,349214,7.8958,2,0
